path,key,segment_key,TRANSCRIPT,duration,start_time,end_time,long,ready
/kaggle/input/quran-ayat-speech-to-text/Quran_Ayat_public/audio_data/Yaser_Salamah_128kbps/001001.mp3,1:1,1:1_s1,بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ,3.96,0.0,3.96,0,1
/kaggle/input/quran-ayat-speech-to-text/Quran_Ayat_public/audio_data/Yaser_Salamah_128kbps/001002.mp3,1:2,1:2_s1,الْحَمْدُ لِلَّهِ رَبِّ الْعَالَمِينَ,4.296,0.0,4.296,0,1
/kaggle/input/quran-ayat-speech-to-text/Quran_Ayat_public/audio_data/Yaser_Salamah_128kbps/001003.mp3,1:3,1:3_s1,الرَّحْمَٰنِ الرَّحِيمِ,3.576,0.0,3.576,0,1
/kaggle/input/quran-ayat-speech-to-text/Quran_Ayat_public/audio_data/Yaser_Salamah_128kbps/001004.mp3,1:4,1:4_s1,مَالِكِ يَوْمِ الدِّينِ,3.696,0.0,3.696,0,1
/kaggle/input/quran-ayat-speech-to-text/Quran_Ayat_public/audio_data/Yaser_Salamah_128kbps/001005.mp3,1:5,1:5_s1,إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ,4.848,0.0,4.848,0,1
/kaggle/input/quran-ayat-speech-to-text/Quran_Ayat_public/audio_data/Yaser_Salamah_128kbps/001006.mp3,1:6,1:6_s1,اهْدِنَا الصِّرَاطَ الْمُسْتَقِيمَ,4.08,0.0,4.08,0,1
/kaggle/input/quran-ayat-speech-to-text/Quran_Ayat_public/audio_data/Yaser_Salamah_128kbps/001007.mp3,1:7,1:7_s1,صِرَاطَ الَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ الْمَغْضُوبِ عَلَيْهِمْ وَلَا الضَّالِّينَ,13.752,0.0,13.752,0,1
/kaggle/input/quran-ayat-speech-to-text/Quran_Ayat_public/audio_data/Yaser_Salamah_128kbps/002001.mp3,2:1,2:1_s1,الم,9.912,0.0,9.912,0,1
/kaggle/input/quran-ayat-speech-to-text/Quran_Ayat_public/audio_data/Yaser_Salamah_128kbps/002002.mp3,2:2,2:2_s1,ذَٰلِكَ الْكِتَابُ لَا رَيْبَ ۛ فِيهِ ۛ هُدًى لِّلْمُتَّقِينَ,6.12,0.0,6.12,0,1
/kaggle/input/quran-ayat-speech-to-text/Quran_Ayat_public/audio_data/Yaser_Salamah_128kbps/002003.mp3,2:3,2:3_s1,الَّذِينَ يُؤْمِنُونَ بِالْغَيْبِ وَيُقِيمُونَ الصَّلَاةَ وَمِمَّا رَزَقْنَاهُمْ يُنفِقُونَ,10.224,0.0,10.224,0,1
/kaggle/input/quran-ayat-speech-to-text/Quran_Ayat_public/audio_data/Yaser_Salamah_128kbps/002004.mp3,2:4,2:4_s1,وَالَّذِينَ يُؤْمِنُونَ بِمَا أُنزِلَ إِلَيْكَ وَمَا أُنزِلَ مِن قَبْلِكَ وَبِالْآخِرَةِ هُمْ يُوقِنُونَ,12.336,0.0,12.336,0,1
/kaggle/input/quran-ayat-speech-to-text/Quran_Ayat_public/audio_data/Yaser_Salamah_128kbps/002005.mp3,2:5,2:5_s1,أُولَٰئِكَ عَلَىٰ هُدًى مِّن رَّبِّهِمْ ۖ وَأُولَٰئِكَ هُمُ الْمُفْلِحُونَ,11.4,0.0,11.4,0,1
/kaggle/input/quran-ayat-speech-to-text/Quran_Ayat_public/audio_data/Yaser_Salamah_128kbps/002006.mp3,2:6,2:6_s1,إِنَّ الَّذِينَ كَفَرُوا سَوَاءٌ عَلَيْهِمْ أَأَنذَرْتَهُمْ أَمْ لَمْ تُنذِرْهُمْ لَا يُؤْمِنُونَ,14.136,0.0,14.136,0,1
/kaggle/input/quran-ayat-speech-to-text/Quran_Ayat_public/audio_data/Yaser_Salamah_128kbps/002007.mp3,2:7,2:7_s1,خَتَمَ اللَّهُ عَلَىٰ قُلُوبِهِمْ وَعَلَىٰ سَمْعِهِمْ ۖ وَعَلَىٰ أَبْصَارِهِمْ غِشَاوَةٌ ۖ وَلَهُمْ عَذَابٌ عَظِيمٌ,11.448,0.0,11.448,0,1
